+1.00000000000000000000e+00,+1.08191000000000000000e+05
+1.00000000000000000000e+00,+1.29480000000000000000e+04
+2.12001000000000000000e+05,+2.24947000000000000000e+05
+4.44857000000000000000e+05,+4.57804000000000000000e+05
+6.56857000000000000000e+05,+6.69803000000000000000e+05
+8.89713000000000000000e+05,+9.02660000000000000000e+05
+1.10171300000000000000e+06,+1.11465900000000000000e+06
+1.33456900000000000000e+06,+1.34751600000000000000e+06
+1.54656900000000000000e+06,+1.55951500000000000000e+06
+1.77942500000000000000e+06,+1.79237200000000000000e+06
+1.99142500000000000000e+06,+2.00437100000000000000e+06
+2.22428100000000000000e+06,+2.23722800000000000000e+06
+2.43628100000000000000e+06,+2.44922700000000000000e+06
+2.66913700000000000000e+06,+2.68208400000000000000e+06
+2.88113700000000000000e+06,+2.89408300000000000000e+06
+3.11399300000000000000e+06,+3.12694000000000000000e+06
+3.32599300000000000000e+06,+3.33893900000000000000e+06
+3.55884900000000000000e+06,+3.57179600000000000000e+06
+3.77084900000000000000e+06,+3.78379500000000000000e+06
+4.00370500000000000000e+06,+4.01665200000000000000e+06
+4.21570500000000000000e+06,+4.22865100000000000000e+06
